regiao;estado;data;casosNovos;casosAcumulados;obitosNovos;obitosAcumulados
Norte;RO;2020-01-30;0;0;0;0
Norte;RO;2020-01-31;0;0;0;0
Norte;RO;2020-02-01;0;0;0;0
Norte;RO;2020-02-02;0;0;0;0
Norte;RO;2020-02-03;0;0;0;0
Norte;RO;2020-02-04;0;0;0;0
Norte;RO;2020-02-05;0;0;0;0
Norte;RO;2020-02-06;0;0;0;0
Norte;RO;2020-02-07;0;0;0;0
Norte;RO;2020-02-08;0;0;0;0
Norte;RO;2020-02-09;0;0;0;0
Norte;RO;2020-02-10;0;0;0;0
Norte;RO;2020-02-11;0;0;0;0
Norte;RO;2020-02-12;0;0;0;0
Norte;RO;2020-02-13;0;0;0;0
Norte;RO;2020-02-14;0;0;0;0
Norte;RO;2020-02-15;0;0;0;0
Norte;RO;2020-02-16;0;0;0;0
Norte;RO;2020-02-17;0;0;0;0
Norte;RO;2020-02-18;0;0;0;0
Norte;RO;2020-02-19;0;0;0;0
Norte;RO;2020-02-20;0;0;0;0
Norte;RO;2020-02-21;0;0;0;0
Norte;RO;2020-02-22;0;0;0;0
Norte;RO;2020-02-23;0;0;0;0
Norte;RO;2020-02-24;0;0;0;0
Norte;RO;2020-02-25;0;0;0;0
Norte;RO;2020-02-26;0;0;0;0
Norte;RO;2020-02-27;0;0;0;0
Norte;RO;2020-02-28;0;0;0;0
Norte;RO;2020-02-29;0;0;0;0
Norte;RO;2020-03-01;0;0;0;0
Norte;RO;2020-03-02;0;0;0;0
Norte;RO;2020-03-03;0;0;0;0
Norte;RO;2020-03-04;0;0;0;0
Norte;RO;2020-03-05;0;0;0;0
Norte;RO;2020-03-06;0;0;0;0
Norte;RO;2020-03-07;0;0;0;0
Norte;RO;2020-03-08;0;0;0;0
Norte;RO;2020-03-09;0;0;0;0
Norte;RO;2020-03-10;0;0;0;0
Norte;RO;2020-03-11;0;0;0;0
Norte;RO;2020-03-12;0;0;0;0
Norte;RO;2020-03-13;0;0;0;0
Norte;RO;2020-03-14;0;0;0;0
Norte;RO;2020-03-15;0;0;0;0
Norte;RO;2020-03-16;0;0;0;0
Norte;RO;2020-03-17;0;0;0;0
Norte;RO;2020-03-18;0;0;0;0
Norte;RO;2020-03-19;0;0;0;0
Norte;RO;2020-03-20;1;1;0;0
Norte;RO;2020-03-21;0;1;0;0
Norte;RO;2020-03-22;2;3;0;0
Norte;RO;2020-03-23;0;3;0;0
Norte;RO;2020-03-24;0;3;0;0
Norte;RO;2020-03-25;2;5;0;0
Norte;RO;2020-03-26;0;5;0;0
Norte;RO;2020-03-27;1;6;0;0
Norte;RO;2020-03-28;0;6;0;0
Norte;RO;2020-03-29;0;6;0;0
Norte;RO;2020-03-30;0;6;0;0
Norte;RO;2020-03-31;2;8;1;1
Norte;RO;2020-04-01;1;9;0;1
Norte;RO;2020-04-02;1;10;0;1
Norte;RO;2020-04-03;0;10;0;1
Norte;RO;2020-04-04;1;11;0;1
Norte;RO;2020-04-05;1;12;0;1
Norte;RO;2020-04-06;2;14;0;1
Norte;RO;2020-04-07;4;18;0;1
Norte;RO;2020-04-08;0;18;0;1
Norte;RO;2020-04-09;10;28;1;2
Norte;RO;2020-04-10;4;32;0;2
Norte;RO;2020-04-11;1;33;0;2
Norte;RO;2020-04-12;2;35;0;2
Norte;RO;2020-04-13;7;42;0;2
Norte;RO;2020-04-14;22;64;0;2
Norte;AC;2020-01-30;0;0;0;0
Norte;AC;2020-01-31;0;0;0;0
Norte;AC;2020-02-01;0;0;0;0
Norte;AC;2020-02-02;0;0;0;0
Norte;AC;2020-02-03;0;0;0;0
Norte;AC;2020-02-04;0;0;0;0
Norte;AC;2020-02-05;0;0;0;0
Norte;AC;2020-02-06;0;0;0;0
Norte;AC;2020-02-07;0;0;0;0
Norte;AC;2020-02-08;0;0;0;0
Norte;AC;2020-02-09;0;0;0;0
Norte;AC;2020-02-10;0;0;0;0
Norte;AC;2020-02-11;0;0;0;0
Norte;AC;2020-02-12;0;0;0;0
Norte;AC;2020-02-13;0;0;0;0
Norte;AC;2020-02-14;0;0;0;0
Norte;AC;2020-02-15;0;0;0;0
Norte;AC;2020-02-16;0;0;0;0
Norte;AC;2020-02-17;0;0;0;0
Norte;AC;2020-02-18;0;0;0;0
Norte;AC;2020-02-19;0;0;0;0
Norte;AC;2020-02-20;0;0;0;0
Norte;AC;2020-02-21;0;0;0;0
Norte;AC;2020-02-22;0;0;0;0
Norte;AC;2020-02-23;0;0;0;0
Norte;AC;2020-02-24;0;0;0;0
Norte;AC;2020-02-25;0;0;0;0
Norte;AC;2020-02-26;0;0;0;0
Norte;AC;2020-02-27;0;0;0;0
Norte;AC;2020-02-28;0;0;0;0
Norte;AC;2020-02-29;0;0;0;0
Norte;AC;2020-03-01;0;0;0;0
Norte;AC;2020-03-02;0;0;0;0
Norte;AC;2020-03-03;0;0;0;0
Norte;AC;2020-03-04;0;0;0;0
Norte;AC;2020-03-05;0;0;0;0
Norte;AC;2020-03-06;0;0;0;0
Norte;AC;2020-03-07;0;0;0;0
Norte;AC;2020-03-08;0;0;0;0
Norte;AC;2020-03-09;0;0;0;0
Norte;AC;2020-03-10;0;0;0;0
Norte;AC;2020-03-11;0;0;0;0
Norte;AC;2020-03-12;0;0;0;0
Norte;AC;2020-03-13;0;0;0;0
Norte;AC;2020-03-14;0;0;0;0
Norte;AC;2020-03-15;0;0;0;0
Norte;AC;2020-03-16;0;0;0;0
Norte;AC;2020-03-17;0;0;0;0
Norte;AC;2020-03-18;0;0;0;0
Norte;AC;2020-03-19;3;3;0;0
Norte;AC;2020-03-20;4;7;0;0
Norte;AC;2020-03-21;2;9;0;0
Norte;AC;2020-03-22;2;11;0;0
Norte;AC;2020-03-23;0;11;0;0
Norte;AC;2020-03-24;6;17;0;0
Norte;AC;2020-03-25;6;23;0;0
Norte;AC;2020-03-26;1;24;0;0
Norte;AC;2020-03-27;1;25;0;0
Norte;AC;2020-03-28;0;25;0;0
Norte;AC;2020-03-29;9;34;0;0
Norte;AC;2020-03-30;8;42;0;0
Norte;AC;2020-03-31;0;42;0;0
Norte;AC;2020-04-01;1;43;0;0
Norte;AC;2020-04-02;0;43;0;0
Norte;AC;2020-04-03;3;46;0;0
Norte;AC;2020-04-04;0;46;0;0
Norte;AC;2020-04-05;2;48;0;0
Norte;AC;2020-04-06;2;50;0;0
Norte;AC;2020-04-07;0;50;1;1
Norte;AC;2020-04-08;4;54;1;2
Norte;AC;2020-04-09;8;62;0;2
Norte;AC;2020-04-10;8;70;0;2
Norte;AC;2020-04-11;2;72;0;2
Norte;AC;2020-04-12;5;77;0;2
Norte;AC;2020-04-13;13;90;1;3
Norte;AC;2020-04-14;9;99;0;3
Norte;AM;2020-01-30;0;0;0;0
Norte;AM;2020-01-31;0;0;0;0
Norte;AM;2020-02-01;0;0;0;0
Norte;AM;2020-02-02;0;0;0;0
Norte;AM;2020-02-03;0;0;0;0
Norte;AM;2020-02-04;0;0;0;0
Norte;AM;2020-02-05;0;0;0;0
Norte;AM;2020-02-06;0;0;0;0
Norte;AM;2020-02-07;0;0;0;0
Norte;AM;2020-02-08;0;0;0;0
Norte;AM;2020-02-09;0;0;0;0
Norte;AM;2020-02-10;0;0;0;0
Norte;AM;2020-02-11;0;0;0;0
Norte;AM;2020-02-12;0;0;0;0
Norte;AM;2020-02-13;0;0;0;0
Norte;AM;2020-02-14;0;0;0;0
Norte;AM;2020-02-15;0;0;0;0
Norte;AM;2020-02-16;0;0;0;0
Norte;AM;2020-02-17;0;0;0;0
Norte;AM;2020-02-18;0;0;0;0
Norte;AM;2020-02-19;0;0;0;0
Norte;AM;2020-02-20;0;0;0;0
Norte;AM;2020-02-21;0;0;0;0
Norte;AM;2020-02-22;0;0;0;0
Norte;AM;2020-02-23;0;0;0;0
Norte;AM;2020-02-24;0;0;0;0
Norte;AM;2020-02-25;0;0;0;0
Norte;AM;2020-02-26;0;0;0;0
Norte;AM;2020-02-27;0;0;0;0
Norte;AM;2020-02-28;0;0;0;0
Norte;AM;2020-02-29;0;0;0;0
Norte;AM;2020-03-01;0;0;0;0
Norte;AM;2020-03-02;0;0;0;0
Norte;AM;2020-03-03;0;0;0;0
Norte;AM;2020-03-04;0;0;0;0
Norte;AM;2020-03-05;0;0;0;0
Norte;AM;2020-03-06;0;0;0;0
Norte;AM;2020-03-07;0;0;0;0
Norte;AM;2020-03-08;0;0;0;0
Norte;AM;2020-03-09;0;0;0;0
Norte;AM;2020-03-10;0;0;0;0
Norte;AM;2020-03-11;0;0;0;0
Norte;AM;2020-03-12;0;0;0;0
Norte;AM;2020-03-13;0;0;0;0
Norte;AM;2020-03-14;0;0;0;0
Norte;AM;2020-03-15;1;1;0;0
Norte;AM;2020-03-16;0;1;0;0
Norte;AM;2020-03-17;0;1;0;0
Norte;AM;2020-03-18;0;1;0;0
Norte;AM;2020-03-19;2;3;0;0
Norte;AM;2020-03-20;0;3;0;0
Norte;AM;2020-03-21;8;11;0;0
Norte;AM;2020-03-22;15;26;0;0
Norte;AM;2020-03-23;6;32;0;0
Norte;AM;2020-03-24;15;47;0;0
Norte;AM;2020-03-25;7;54;1;1
Norte;AM;2020-03-26;13;67;0;1
Norte;AM;2020-03-27;14;81;0;1
Norte;AM;2020-03-28;30;111;0;1
Norte;AM;2020-03-29;29;140;0;1
Norte;AM;2020-03-30;11;151;0;1
Norte;AM;2020-03-31;24;175;2;3
Norte;AM;2020-04-01;25;200;0;3
Norte;AM;2020-04-02;29;229;0;3
Norte;AM;2020-04-03;31;260;4;7
Norte;AM;2020-04-04;51;311;5;12
Norte;AM;2020-04-05;106;417;2;14
Norte;AM;2020-04-06;115;532;5;19
Norte;AM;2020-04-07;104;636;4;23
Norte;AM;2020-04-08;168;804;7;30
Norte;AM;2020-04-09;95;899;10;40
Norte;AM;2020-04-10;82;981;10;50
Norte;AM;2020-04-11;69;1050;3;53
Norte;AM;2020-04-12;156;1206;9;62
Norte;AM;2020-04-13;69;1275;9;71
Norte;AM;2020-04-14;209;1484;19;90
Norte;RR;2020-01-30;0;0;0;0
Norte;RR;2020-01-31;0;0;0;0
Norte;RR;2020-02-01;0;0;0;0
Norte;RR;2020-02-02;0;0;0;0
Norte;RR;2020-02-03;0;0;0;0
Norte;RR;2020-02-04;0;0;0;0
Norte;RR;2020-02-05;0;0;0;0
Norte;RR;2020-02-06;0;0;0;0
Norte;RR;2020-02-07;0;0;0;0
Norte;RR;2020-02-08;0;0;0;0
Norte;RR;2020-02-09;0;0;0;0
Norte;RR;2020-02-10;0;0;0;0
Norte;RR;2020-02-11;0;0;0;0
Norte;RR;2020-02-12;0;0;0;0
Norte;RR;2020-02-13;0;0;0;0
Norte;RR;2020-02-14;0;0;0;0
Norte;RR;2020-02-15;0;0;0;0
Norte;RR;2020-02-16;0;0;0;0
Norte;RR;2020-02-17;0;0;0;0
Norte;RR;2020-02-18;0;0;0;0
Norte;RR;2020-02-19;0;0;0;0
Norte;RR;2020-02-20;0;0;0;0
Norte;RR;2020-02-21;0;0;0;0
Norte;RR;2020-02-22;0;0;0;0
Norte;RR;2020-02-23;0;0;0;0
Norte;RR;2020-02-24;0;0;0;0
Norte;RR;2020-02-25;0;0;0;0
Norte;RR;2020-02-26;0;0;0;0
Norte;RR;2020-02-27;0;0;0;0
Norte;RR;2020-02-28;0;0;0;0
Norte;RR;2020-02-29;0;0;0;0
Norte;RR;2020-03-01;0;0;0;0
Norte;RR;2020-03-02;0;0;0;0
Norte;RR;2020-03-03;0;0;0;0
Norte;RR;2020-03-04;0;0;0;0
Norte;RR;2020-03-05;0;0;0;0
Norte;RR;2020-03-06;0;0;0;0
Norte;RR;2020-03-07;0;0;0;0
Norte;RR;2020-03-08;0;0;0;0
Norte;RR;2020-03-09;0;0;0;0
Norte;RR;2020-03-10;0;0;0;0
Norte;RR;2020-03-11;0;0;0;0
Norte;RR;2020-03-12;0;0;0;0
Norte;RR;2020-03-13;0;0;0;0
Norte;RR;2020-03-14;0;0;0;0
Norte;RR;2020-03-15;0;0;0;0
Norte;RR;2020-03-16;0;0;0;0
Norte;RR;2020-03-17;0;0;0;0
Norte;RR;2020-03-18;0;0;0;0
Norte;RR;2020-03-19;0;0;0;0
Norte;RR;2020-03-20;0;0;0;0
Norte;RR;2020-03-21;0;0;0;0
Norte;RR;2020-03-22;2;2;0;0
Norte;RR;2020-03-23;0;2;0;0
Norte;RR;2020-03-24;0;2;0;0
Norte;RR;2020-03-25;6;8;0;0
Norte;RR;2020-03-26;0;8;0;0
Norte;RR;2020-03-27;2;10;0;0
Norte;RR;2020-03-28;2;12;0;0
Norte;RR;2020-03-29;4;16;0;0
Norte;RR;2020-03-30;0;16;0;0
Norte;RR;2020-03-31;0;16;0;0
Norte;RR;2020-04-01;6;22;0;0
Norte;RR;2020-04-02;4;26;0;0
Norte;RR;2020-04-03;4;30;0;0
Norte;RR;2020-04-04;7;37;1;1
Norte;RR;2020-04-05;5;42;0;1
Norte;RR;2020-04-06;0;42;0;1
Norte;RR;2020-04-07;0;42;0;1
Norte;RR;2020-04-08;7;49;0;1
Norte;RR;2020-04-09;3;52;0;1
Norte;RR;2020-04-10;11;63;2;3
Norte;RR;2020-04-11;12;75;0;3
Norte;RR;2020-04-12;4;79;0;3
Norte;RR;2020-04-13;4;83;0;3
Norte;RR;2020-04-14;30;113;0;3
Norte;PA;2020-01-30;0;0;0;0
Norte;PA;2020-01-31;0;0;0;0
Norte;PA;2020-02-01;0;0;0;0
Norte;PA;2020-02-02;0;0;0;0
Norte;PA;2020-02-03;0;0;0;0
Norte;PA;2020-02-04;0;0;0;0
Norte;PA;2020-02-05;0;0;0;0
Norte;PA;2020-02-06;0;0;0;0
Norte;PA;2020-02-07;0;0;0;0
Norte;PA;2020-02-08;0;0;0;0
Norte;PA;2020-02-09;0;0;0;0
Norte;PA;2020-02-10;0;0;0;0
Norte;PA;2020-02-11;0;0;0;0
Norte;PA;2020-02-12;0;0;0;0
Norte;PA;2020-02-13;0;0;0;0
Norte;PA;2020-02-14;0;0;0;0
Norte;PA;2020-02-15;0;0;0;0
Norte;PA;2020-02-16;0;0;0;0
Norte;PA;2020-02-17;0;0;0;0
Norte;PA;2020-02-18;0;0;0;0
Norte;PA;2020-02-19;0;0;0;0
Norte;PA;2020-02-20;0;0;0;0
Norte;PA;2020-02-21;0;0;0;0
Norte;PA;2020-02-22;0;0;0;0
Norte;PA;2020-02-23;0;0;0;0
Norte;PA;2020-02-24;0;0;0;0
Norte;PA;2020-02-25;0;0;0;0
Norte;PA;2020-02-26;0;0;0;0
Norte;PA;2020-02-27;0;0;0;0
Norte;PA;2020-02-28;0;0;0;0
Norte;PA;2020-02-29;0;0;0;0
Norte;PA;2020-03-01;0;0;0;0
Norte;PA;2020-03-02;0;0;0;0
Norte;PA;2020-03-03;0;0;0;0
Norte;PA;2020-03-04;0;0;0;0
Norte;PA;2020-03-05;0;0;0;0
Norte;PA;2020-03-06;0;0;0;0
Norte;PA;2020-03-07;0;0;0;0
Norte;PA;2020-03-08;0;0;0;0
Norte;PA;2020-03-09;0;0;0;0
Norte;PA;2020-03-10;0;0;0;0
Norte;PA;2020-03-11;0;0;0;0
Norte;PA;2020-03-12;0;0;0;0
Norte;PA;2020-03-13;0;0;0;0
Norte;PA;2020-03-14;0;0;0;0
Norte;PA;2020-03-15;0;0;0;0
Norte;PA;2020-03-16;0;0;0;0
Norte;PA;2020-03-17;0;0;0;0
Norte;PA;2020-03-18;0;0;0;0
Norte;PA;2020-03-19;1;1;0;0
Norte;PA;2020-03-20;1;2;0;0
Norte;PA;2020-03-21;0;2;0;0
Norte;PA;2020-03-22;2;4;0;0
Norte;PA;2020-03-23;1;5;0;0
Norte;PA;2020-03-24;0;5;0;0
Norte;PA;2020-03-25;2;7;0;0
Norte;PA;2020-03-26;6;13;0;0
Norte;PA;2020-03-27;0;13;0;0
Norte;PA;2020-03-28;4;17;0;0
Norte;PA;2020-03-29;1;18;0;0
Norte;PA;2020-03-30;3;21;0;0
Norte;PA;2020-03-31;11;32;0;0
Norte;PA;2020-04-01;8;40;1;1
Norte;PA;2020-04-02;6;46;0;1
Norte;PA;2020-04-03;4;50;0;1
Norte;PA;2020-04-04;30;80;0;1
Norte;PA;2020-04-05;6;86;0;1
Norte;PA;2020-04-06;16;102;2;3
Norte;PA;2020-04-07;36;138;2;5
Norte;PA;2020-04-08;29;167;1;6
Norte;PA;2020-04-09;1;168;1;7
Norte;PA;2020-04-10;2;170;2;9
Norte;PA;2020-04-11;47;217;1;10
Norte;PA;2020-04-12;29;246;3;13
Norte;PA;2020-04-13;24;270;2;15
Norte;PA;2020-04-14;53;323;4;19
Norte;AP;2020-01-30;0;0;0;0
Norte;AP;2020-01-31;0;0;0;0
Norte;AP;2020-02-01;0;0;0;0
Norte;AP;2020-02-02;0;0;0;0
Norte;AP;2020-02-03;0;0;0;0
Norte;AP;2020-02-04;0;0;0;0
Norte;AP;2020-02-05;0;0;0;0
Norte;AP;2020-02-06;0;0;0;0
Norte;AP;2020-02-07;0;0;0;0
Norte;AP;2020-02-08;0;0;0;0
Norte;AP;2020-02-09;0;0;0;0
Norte;AP;2020-02-10;0;0;0;0
Norte;AP;2020-02-11;0;0;0;0
Norte;AP;2020-02-12;0;0;0;0
Norte;AP;2020-02-13;0;0;0;0
Norte;AP;2020-02-14;0;0;0;0
Norte;AP;2020-02-15;0;0;0;0
Norte;AP;2020-02-16;0;0;0;0
Norte;AP;2020-02-17;0;0;0;0
Norte;AP;2020-02-18;0;0;0;0
Norte;AP;2020-02-19;0;0;0;0
Norte;AP;2020-02-20;0;0;0;0
Norte;AP;2020-02-21;0;0;0;0
Norte;AP;2020-02-22;0;0;0;0
Norte;AP;2020-02-23;0;0;0;0
Norte;AP;2020-02-24;0;0;0;0
Norte;AP;2020-02-25;0;0;0;0
Norte;AP;2020-02-26;0;0;0;0
Norte;AP;2020-02-27;0;0;0;0
Norte;AP;2020-02-28;0;0;0;0
Norte;AP;2020-02-29;0;0;0;0
Norte;AP;2020-03-01;0;0;0;0
Norte;AP;2020-03-02;0;0;0;0
Norte;AP;2020-03-03;0;0;0;0
